empno,ename,job,mgr,hiredate,sal,comm,deptno
7369,SMITH,CLERK,7902,17-12-1980,800,20,10
7499,ALLEN,SALESMAN,7698,20-Feb-1981,1600,300,30
7521,WARD,SALESMAN,7698,22/Feb/1981,1250,500,30
7521,WARD,SALESMAN,7698,22/02/1981,1250,500,30
7566,JONES,MANAGER,7839,02-Apr-1981,2975,0,20
7654,MARTIN,,7698,28-02-1981,1150,1400,30
7698,BLAKE,MANAGER,7839,1981-May-1,2850,0,30
7782,CLARK,MANAGER,7839,1981-06-21,2450,0,10
7788,,ANALYST,7566,19-Apr-1987,3000,0,20
7789,VENU,ANALYST,7506,19-Apr-1989,3100,0,20
7839,KING,PRESIDENT,,17-Nov-1981,5000,,10
7844,TURNER,SALESMAN,7698,08-Sep-1981,1500,0,30
7845,TURNER,SALESMAN,7698,08-Sep-1981,1500,0,30
7876,ADAMS,CLERK,7788,23-May-1987,1100,0,20
