empno,ename,job,mgr,hiredate,sal,comm,deptno
7369,SMITH,CLERK,7902,17-Dec-1980,800,20,10
7499,ALLEN,SALESMAN,7698,20-Feb-1981,1600,300,30
7521,WARD,SALESMAN,7698,22-Feb-1981,1250,500,30
7521,WARD,SALESMAN,7698,22-Feb-1981,1250,500,30
7566,JONES,MANAGER,7839,2-Apr-1981,2975,0,20
7654,MARTIN,SALESMAN,7698,28-Sep-1981,1250,1400,30
7698,BLAKE,MANAGER,7839,1-May-1981,2850,0,30
7782,CLARK,MANAGER,7839,9-Jun-1981,2450,0,10
7788,SCOTT,ANALYST,7566,19-Apr-1987,3000,0,20
7839,KING,PRESIDENT,,17-Nov-1981,5000,0,10
7844,TURNER,SALESMAN,7698,8-Sep-1981,1500,0,30
7845,TURNER,SALESMAN,7698,8-Sep-1981,1500,0,30
7876,ADAMS,CLERK,7788,23-May-1987,1100,0,20
